ano,fecha,entidad,clave_est,municipio,clave_municipal,cvegeo,colonia_o_comunidad,descripcion_geo,fosas,total_cuerpos,masculino,femenino,links
2018,2018-04-02,Guanajuato,11,Acámbaro,002,11002,"NA","Las Areneras o ‘Balastreras’, cerca de las faldas del cerro de ‘El Toro’",1,2,1,1,https://periodicocorreo.com.mx/hallan-fosa-clandestina-en-acambaro/
2018,2018-02-01,Guanajuato,11,Abasolo,001,11001,Comunidad Mogotes,"A un costado de la carretera federal Abasolo-Irapuato, bodega ubicada sobre la carretera federal 90 en el tramo Abasolo-Irapuato, metros después de la Gasera, cerca de Mogotes",1,NA,NA,NA,https://periodicocorreo.com.mx/hallan-fosa-clandestina-abasolo/
2018,2018-01-29,Guanajuato,11,Uriangato,041,11041,Colonia Deportiva,Calle Carlos Girón n. 25,1,2,NA,NA,https://www.milenio.com/policia/encuentran-dos-cadaveres-en-fosa-clandestina-de-uriangato
2018,2018-01-26,Guanajuato,11,Santiago Maravatío,036,11036,"NA",Cerca de camino rumbo a la presa de La Leona-La Joya,1,2,NA,NA,http://guanajuatosur.com/2018/01/encuentran-restos-de-dos-personas-en-fosa-clandestina/
2017,2017-12-21,Guanajuato,11,Apaseo el Grande,005,11005,Tenango el Nuevo (hacia el cerro de la Bruja),Cerca de camino vecinal que conecta la autopista Qro-Celaya con el cerro de las Brujas,1,4,NA,NA,http://www.eluniversalqueretaro.mx/seguridad/22-12-2017/localizan-fosa-clandestina-en-apaseo-el-grande
2017,2017-11-30,Guanajuato,11,Villagrán,044,11044,Ejido Cerrito de Yerbas,Junto a fraccionamiento el Rehilete,1,1,1,NA,http://odnnoticias.com/en-celaya-hallan-cadaver-una-fosa-clandestina/
2017,2017-09-04,Guanajuato,11,Guanajuato,015,11015,Comunidad de Betania,Terrenos de cultivo,1,1,NA,NA,https://www.globalmedia.mx/articles/Encuentran-restos-humanos-en-fosa-clandestina-en-Guanajuato
2017,2017-09-02,Guanajuato,11,San Francisco del Rincón,031,11031,Colonia Hidalgo,Calle California (según FGE),1,1,NA,NA,https://www.am.com.mx/noticias/Encuentran-fosa-clandestina-en-finca-20170902-0155.html
2017,2017-08-10,Guanajuato,11,Apaseo el Alto,004,11004,Poblado Lomas de San Isidro,"Kilómetro 1.5 de la carretera a San Antonio Calichar, cerca del Bar La Cabaña",1,1,NA,NA,https://periodicocorreo.com.mx/localizan-posible-fosa-clandestina-dentro-recicladora/
2017,2017-08-04,Guanajuato,11,Pénjamo,023,11023,Colonia Nueva Esperanza,"NA",1,3,NA,NA,https://www.unotv.com/noticias/estados/guanajuato/detalle/hallan-cuerpos-fosa-clandestina-penjamo-guanajuato-753467/
